"Iteration","Method","Q_Value","FDP","TDP","FDP_Plus","TDP_Plus"
10,"rank",0.3,0.52,0.96,0.52,0.96
10,"bhq",0.3,0,0,0,0.96
11,"dp",0.1,0,0.92,0,0.92
11,"rank",0.1,0.0740740740740741,1,0.0740740740740741,1
11,"bhq",0.1,0,0,0,0.68
11,"dp",0.2,0.225806451612903,0.96,0.172413793103448,0.96
11,"rank",0.2,0.107142857142857,1,0.107142857142857,1
11,"bhq",0.2,0,0,0,0.72
11,"dp",0.3,0.225806451612903,0.96,0.225806451612903,0.96
11,"rank",0.3,0.107142857142857,1,0.107142857142857,1
11,"bhq",0.3,0,0,0,0.72
12,"dp",0.1,0,0.76,0,0.72
12,"rank",0.1,0.137931034482759,1,0.137931034482759,1
12,"bhq",0.1,0,0,0.0384615384615385,1
12,"dp",0.2,0.225806451612903,0.96,0,0.76
12,"rank",0.2,0.21875,1,0.21875,1
12,"bhq",0.2,0,0,0.0384615384615385,1
12,"dp",0.3,0.285714285714286,1,0.285714285714286,1
12,"rank",0.3,0.519230769230769,1,0.342105263157895,1
12,"bhq",0.3,0,0,0.107142857142857,1
13,"dp",0.1,0.0909090909090909,0.8,0.0952380952380952,0.76
13,"rank",0.1,0.0526315789473684,0.72,0.0555555555555556,0.68
13,"bhq",0.1,0,0,0,0.6
13,"dp",0.2,0.0869565217391304,0.84,0.0909090909090909,0.8
13,"rank",0.2,0.342857142857143,0.92,0.0476190476190476,0.8
13,"bhq",0.2,0,0,0,0.76
13,"dp",0.3,0.266666666666667,0.88,0.125,0.84
13,"rank",0.3,0.5,0.96,0.48936170212766,0.96
13,"bhq",0.3,0,0,0,0.8
14,"dp",0.1,0.21875,1,0.193548387096774,1
14,"rank",0.1,0.0384615384615385,1,0.0384615384615385,1
14,"bhq",0.1,0,0,0,0.84
14,"dp",0.2,0.21875,1,0.21875,1
14,"rank",0.2,0.166666666666667,1,0.0384615384615385,1
14,"bhq",0.2,0,0,0.0416666666666667,0.92
14,"dp",0.3,0.21875,1,0.21875,1
14,"rank",0.3,0.264705882352941,1,0.242424242424242,1
14,"bhq",0.3,0,0,0.04,0.96
15,"dp",0.1,0.25,0.84,0.25,0.84
15,"rank",0.1,0.333333333333333,0.88,0.290322580645161,0.88
15,"bhq",0.1,0,0,0,0.44
15,"dp",0.2,0.371428571428571,0.88,0.3125,0.88
15,"rank",0.2,0.452380952380952,0.92,0.452380952380952,0.92
15,"bhq",0.2,0,0,0,0.44
15,"dp",0.3,0.435897435897436,0.88,0.435897435897436,0.88
15,"rank",0.3,0.529411764705882,0.96,0.529411764705882,0.96
15,"bhq",0.3,0,0,0,0.44
16,"dp",0.1,0.115384615384615,0.92,0.08,0.92
16,"rank",0.1,0.368421052631579,0.96,0.333333333333333,0.96
16,"bhq",0.1,0,0,0.08,0.92
16,"dp",0.2,0.178571428571429,0.92,0.178571428571429,0.92
16,"rank",0.2,0.428571428571429,0.96,0.414634146341463,0.96
16,"bhq",0.2,0,0,0.0769230769230769,0.96
16,"dp",0.3,0.439024390243902,0.92,0.258064516129032,0.92
16,"rank",0.3,0.510204081632653,0.96,0.48936170212766,0.96
16,"bhq",0.3,0,0,0.0769230769230769,0.96
17,"dp",0.1,0,0.92,0,0.92
17,"rank",0.1,0.185185185185185,0.88,0,0.88
17,"bhq",0.1,0,0,0,0.88
17,"dp",0.2,0.148148148148148,0.92,0.148148148148148,0.92
17,"rank",0.2,0.303030303030303,0.92,0.303030303030303,0.92
17,"bhq",0.2,0,0,0,0.92
17,"dp",0.3,0.28125,0.92,0.258064516129032,0.92
17,"rank",0.3,0.4,0.96,0.384615384615385,0.96
17,"bhq",0.3,0,0,0.0416666666666667,0.92
18,"dp",0.1,0.153846153846154,0.88,0.0909090909090909,0.8
18,"rank",0.1,0.16,0.84,0.16,0.84
18,"bhq",0.1,0,0,0.0625,0.6
18,"dp",0.2,0.233333333333333,0.92,0.206896551724138,0.92
18,"rank",0.2,0.342857142857143,0.92,0.266666666666667,0.88
18,"bhq",0.2,0,0,0.0588235294117647,0.64
18,"dp",0.3,0.342857142857143,0.92,0.342857142857143,0.92
18,"rank",0.3,0.452380952380952,0.92,0.378378378378378,0.92
18,"bhq",0.3,0,0,0.0526315789473684,0.72
19,"dp",0.1,0.125,0.84,0.0476190476190476,0.8
19,"rank",0.1,0.28125,0.92,0.233333333333333,0.92
19,"bhq",0.1,0,0,0,0.76
19,"dp",0.2,0.222222222222222,0.84,0.16,0.84
19,"rank",0.2,0.414634146341463,0.96,0.28125,0.92
19,"bhq",0.2,0,0,0,0.88
19,"dp",0.3,0.382352941176471,0.84,0.363636363636364,0.84
19,"rank",0.3,0.5,1,0.479166666666667,1
19,"bhq",0.3,0,0,0,0.88
20,"dp",0.1,0.115384615384615,0.92,0.0416666666666667,0.92
20,"rank",0.1,0.115384615384615,0.92,0,0.88
20,"bhq",0.1,0,0,0,0.72
20,"dp",0.2,0.342857142857143,0.92,0.233333333333333,0.92
20,"rank",0.2,0.172413793103448,0.96,0.172413793103448,0.96
20,"bhq",0.2,0,0,0,0.84
20,"dp",0.3,0.361111111111111,0.92,0.361111111111111,0.92
20,"rank",0.3,0.242424242424242,1,0.242424242424242,1
20,"bhq",0.3,0,0,0,0.88
21,"dp",0.1,0.0434782608695652,0.88,0.0434782608695652,0.88
21,"rank",0.1,0.0434782608695652,0.88,0,0.72
21,"bhq",0.1,0,0,0,0.68
21,"dp",0.2,0.185185185185185,0.88,0.153846153846154,0.88
21,"rank",0.2,0.314285714285714,0.96,0.314285714285714,0.96
21,"bhq",0.2,0,0,0,0.72
21,"dp",0.3,0.185185185185185,0.88,0.185185185185185,0.88
21,"rank",0.3,0.314285714285714,0.96,0.314285714285714,0.96
21,"bhq",0.3,0,0,0,0.76
22,"dp",0.1,0.148148148148148,0.92,0.08,0.92
22,"rank",0.1,0.153846153846154,0.88,0.0833333333333333,0.88
22,"bhq",0.1,0,0,0.107142857142857,1
22,"dp",0.2,0.375,1,0.375,1
22,"rank",0.2,0.2,0.96,0.2,0.96
22,"bhq",0.2,0,0,0.166666666666667,1
22,"dp",0.3,0.404761904761905,1,0.390243902439024,1
22,"rank",0.3,0.4,0.96,0.4,0.96
22,"bhq",0.3,0,0,0.305555555555556,1
23,"dp",0.1,0.0416666666666667,0.92,0.0416666666666667,0.92
23,"rank",0.1,0.111111111111111,0.96,0.111111111111111,0.96
23,"bhq",0.1,0,0,0.142857142857143,0.96
23,"dp",0.2,0.178571428571429,0.92,0.0416666666666667,0.92
23,"rank",0.2,0.142857142857143,0.96,0.142857142857143,0.96
23,"bhq",0.2,0,0,0.272727272727273,0.96
23,"dp",0.3,0.333333333333333,0.96,0.333333333333333,0.96
23,"rank",0.3,0.2,0.96,0.172413793103448,0.96
23,"bhq",0.3,0,0,0.333333333333333,0.96
24,"dp",0.1,0,0.96,0,0.96
24,"rank",0.1,0.166666666666667,1,0.0384615384615385,1
24,"bhq",0.1,0,0,0,0.92
24,"dp",0.2,0.111111111111111,0.96,0.111111111111111,0.96
24,"rank",0.2,0.242424242424242,1,0.21875,1
24,"bhq",0.2,0,0,0,0.92
24,"dp",0.3,0.142857142857143,0.96,0.142857142857143,0.96
24,"rank",0.3,0.479166666666667,1,0.468085106382979,1
24,"bhq",0.3,0,0,0,0.96
25,"dp",0.1,0.178571428571429,0.92,0.16,0.84
25,"rank",0.1,0.0869565217391304,0.84,0.0909090909090909,0.8
25,"bhq",0.1,0,0,0.148148148148148,0.92
25,"dp",0.2,0.333333333333333,0.96,0.314285714285714,0.96
25,"rank",0.2,0.233333333333333,0.92,0.206896551724138,0.92
25,"bhq",0.2,0,0,0.225806451612903,0.96
25,"dp",0.3,0.586206896551724,0.96,0.578947368421053,0.96
25,"rank",0.3,0.425,0.92,0.258064516129032,0.92
25,"bhq",0.3,0,0,0.225806451612903,0.96
26,"dp",0.1,0.12,0.88,0.0454545454545455,0.84
26,"rank",0.1,0.08,0.92,0.0416666666666667,0.92
26,"bhq",0.1,0,0,0,0.76
26,"dp",0.2,0.148148148148148,0.92,0.115384615384615,0.92
26,"rank",0.2,0.25,0.96,0.225806451612903,0.96
26,"bhq",0.2,0,0,0,0.8
26,"dp",0.3,0.178571428571429,0.92,0.178571428571429,0.92
26,"rank",0.3,0.25,0.96,0.25,0.96
26,"bhq",0.3,0,0,0.0833333333333333,0.88
27,"dp",0.1,0.04,0.96,0.04,0.96
27,"rank",0.1,0.111111111111111,0.96,0.08,0.92
27,"bhq",0.1,0,0,0,1
27,"dp",0.2,0.04,0.96,0.04,0.96
27,"rank",0.2,0.111111111111111,0.96,0.111111111111111,0.96
27,"bhq",0.2,0,0,0.0384615384615385,1
27,"dp",0.3,0.142857142857143,0.96,0.111111111111111,0.96
27,"rank",0.3,0.242424242424242,1,0.2,0.96
27,"bhq",0.3,0,0,0.0740740740740741,1
28,"dp",0.1,0.323529411764706,0.92,0.0454545454545455,0.84
28,"rank",0.1,0.206896551724138,0.92,0.206896551724138,0.92
28,"bhq",0.1,0,0,0,0.72
